yr,ts,j,value
1997,taxes,rec,2.906
2007,taxes,rec,5.2090000000000005
2010,taxes,rec,5.73
2003,taxes,rec,3.931
2011,taxes,rec,6.12
2001,taxes,rec,3.5740000000000003
2008,subsidies,rec,-0.0
2009,subsidies,rec,-0.0
2005,subsidies,rec,-0.0
2006,subsidies,rec,-0.0
2012,subsidies,rec,-0.0
2014,subsidies,rec,-0.0
2013,subsidies,rec,-0.0
1999,subsidies,rec,-0.0
2002,subsidies,rec,-0.0
2017,subsidies,rec,-0.0
2016,subsidies,rec,-0.0
2015,subsidies,rec,-0.0
1998,subsidies,rec,-0.0
2004,subsidies,rec,-0.0
2000,subsidies,rec,-0.0
1997,subsidies,rec,-0.0
2007,subsidies,rec,-0.0
2010,subsidies,rec,-0.0
2003,subsidies,rec,-0.0
2011,subsidies,rec,-0.0
2001,subsidies,rec,-0.0
2008,taxes,con,1.42
2009,taxes,con,1.149
2005,taxes,con,1.176
2006,taxes,con,1.3900000000000001
2012,taxes,con,1.272
2014,taxes,con,1.498
2013,taxes,con,1.373
1999,taxes,con,0.764
2002,taxes,con,0.867
2017,taxes,con,1.7850000000000001
2016,taxes,con,1.701
2015,taxes,con,1.613
1998,taxes,con,0.6910000000000001
2004,taxes,con,1.014
2000,taxes,con,0.8210000000000001
1997,taxes,con,0.631
2007,taxes,con,1.46
2010,taxes,con,1.096
2003,taxes,con,0.907
2011,taxes,con,1.201
2001,taxes,con,0.87
2008,subsidies,con,-0.0
2009,subsidies,con,-0.0
2005,subsidies,con,-0.0
2006,subsidies,con,-0.0
2012,subsidies,con,-0.0
2014,subsidies,con,-0.0
2013,subsidies,con,-0.0
1999,subsidies,con,-0.0
2002,subsidies,con,-0.0
2017,subsidies,con,-0.0
2016,subsidies,con,-0.0
2015,subsidies,con,-0.0
1998,subsidies,con,-0.0
2004,subsidies,con,-0.0
2000,subsidies,con,-0.0
1997,subsidies,con,-0.0
2007,subsidies,con,-0.0
2010,subsidies,con,-0.0
2003,subsidies,con,-0.0
2011,subsidies,con,-0.0
2001,subsidies,con,-0.0
2008,taxes,agr,0.0
2009,taxes,agr,0.0
2005,taxes,agr,0.0
2006,taxes,agr,0.0
2012,taxes,agr,0.0
2014,taxes,agr,0.0
2013,taxes,agr,0.0
1999,taxes,agr,0.0
2002,taxes,agr,0.0
2017,taxes,agr,0.0
2016,taxes,agr,0.0
2015,taxes,agr,0.0
1998,taxes,agr,0.0
2004,taxes,agr,0.0
2000,taxes,agr,0.0
1997,taxes,agr,0.0
2007,taxes,agr,0.0
2010,taxes,agr,0.0
2003,taxes,agr,0.0
2011,taxes,agr,0.0
2001,taxes,agr,0.0
2008,subsidies,agr,10.346
2009,subsidies,agr,10.361
2005,subsidies,agr,20.914
2006,subsidies,agr,13.489
2012,subsidies,agr,8.759
2014,subsidies,agr,7.463
2013,subsidies,agr,8.913
1999,subsidies,agr,18.577
2002,subsidies,agr,10.763
2017,subsidies,agr,9.759
2016,subsidies,agr,11.157
2015,subsidies,agr,8.926
1998,subsidies,agr,10.53
2004,subsidies,agr,11.068
2000,subsidies,agr,19.96
1997,subsidies,agr,6.357
2007,subsidies,agr,10.620000000000001
2010,subsidies,agr,10.516
2003,subsidies,agr,14.167
2011,subsidies,agr,8.825000000000001
2001,subsidies,agr,19.987000000000002
2008,taxes,eec,0.088
2009,taxes,eec,0.075
2005,taxes,eec,0.069
2006,taxes,eec,0.076
2012,taxes,eec,0.092
2014,taxes,eec,0.1
2013,taxes,eec,0.096
1999,taxes,eec,0.059000000000000004
2002,taxes,eec,0.059000000000000004
2017,taxes,eec,0.11
2016,taxes,eec,0.105
2015,taxes,eec,0.10300000000000001
1998,taxes,eec,0.057
2004,taxes,eec,0.064
2000,taxes,eec,0.064
1997,taxes,eec,0.056
2007,taxes,eec,0.083
2010,taxes,eec,0.084
2003,taxes,eec,0.06
2011,taxes,eec,0.092
2001,taxes,eec,0.066
2008,subsidies,eec,0.12
2009,subsidies,eec,0.327
2005,subsidies,eec,-0.0
2006,subsidies,eec,-0.0
2012,subsidies,eec,0.842
2014,subsidies,eec,0.293
2013,subsidies,eec,0.394
1999,subsidies,eec,-0.0
2002,subsidies,eec,-0.0
2017,subsidies,eec,0.264
2016,subsidies,eec,0.261
2015,subsidies,eec,0.278
1998,subsidies,eec,-0.0
2004,subsidies,eec,-0.0
2000,subsidies,eec,-0.0
1997,subsidies,eec,-0.0
2007,subsidies,eec,-0.0
2010,subsidies,eec,0.9410000000000001
2003,subsidies,eec,-0.0
2011,subsidies,eec,1.16
2001,subsidies,eec,-0.0
2008,taxes,fnd,0.0
2009,taxes,fnd,0.0
2005,taxes,fnd,0.0
2006,taxes,fnd,0.0
2012,taxes,fnd,0.0
2014,taxes,fnd,0.0
2013,taxes,fnd,0.0
1999,taxes,fnd,0.0
2002,taxes,fnd,0.0
2017,taxes,fnd,0.0
2016,taxes,fnd,0.0
2015,taxes,fnd,0.0
1998,taxes,fnd,0.0
2004,taxes,fnd,0.0
2000,taxes,fnd,0.0
1997,taxes,fnd,0.0
2007,taxes,fnd,0.0
2010,taxes,fnd,0.0
2003,taxes,fnd,0.0
2011,taxes,fnd,0.0
2001,taxes,fnd,0.0
2008,subsidies,fnd,-0.0
2009,subsidies,fnd,-0.0
2005,subsidies,fnd,-0.0
2006,subsidies,fnd,-0.0
2012,subsidies,fnd,-0.0
2014,subsidies,fnd,-0.0
2013,subsidies,fnd,-0.0
1999,subsidies,fnd,-0.0
2002,subsidies,fnd,-0.0
2017,subsidies,fnd,-0.0
2016,subsidies,fnd,-0.0
2015,subsidies,fnd,-0.0
1998,subsidies,fnd,-0.0
2004,subsidies,fnd,-0.0
2000,subsidies,fnd,-0.0
1997,subsidies,fnd,-0.0
2007,subsidies,fnd,-0.0
2010,subsidies,fnd,-0.0
2003,subsidies,fnd,-0.0
2011,subsidies,fnd,-0.0
2001,subsidies,fnd,-0.0
2008,taxes,pub,1.0190000000000001
2009,taxes,pub,0.9440000000000001
2005,taxes,pub,0.9470000000000001
2006,taxes,pub,0.984
2012,taxes,pub,1.039
2014,taxes,pub,1.11
2013,taxes,pub,1.066
1999,taxes,pub,0.78
2002,taxes,pub,0.796
2017,taxes,pub,1.202
2016,taxes,pub,1.1420000000000001
2015,taxes,pub,1.1500000000000001
1998,taxes,pub,0.725
2004,taxes,pub,0.877
2000,taxes,pub,0.8280000000000001
1997,taxes,pub,0.671
2007,taxes,pub,0.977
2010,taxes,pub,0.98
2003,taxes,pub,0.8270000000000001
2011,taxes,pub,1.033
2001,taxes,pub,0.8310000000000001
2008,subsidies,pub,-0.0
2009,subsidies,pub,-0.0
2005,subsidies,pub,-0.0
2006,subsidies,pub,-0.0
2012,subsidies,pub,-0.0
2014,subsidies,pub,-0.0
2013,subsidies,pub,-0.0
1999,subsidies,pub,-0.0
2002,subsidies,pub,-0.0
2017,subsidies,pub,-0.0
2016,subsidies,pub,-0.0
2015,subsidies,pub,-0.0
1998,subsidies,pub,-0.0
2004,subsidies,pub,-0.0
2000,subsidies,pub,-0.0
1997,subsidies,pub,-0.0
2007,subsidies,pub,-0.0
2010,subsidies,pub,-0.0
2003,subsidies,pub,-0.0
2011,subsidies,pub,-0.0
2001,subsidies,pub,-0.0
2008,taxes,hou,0.0
2009,taxes,hou,0.0
2005,taxes,hou,0.0
2006,taxes,hou,0.0
2012,taxes,hou,0.0
2014,taxes,hou,0.0
2013,taxes,hou,0.0
1999,taxes,hou,0.0
2002,taxes,hou,0.0
2017,taxes,hou,0.0
2016,taxes,hou,0.0
2015,taxes,hou,0.0
1998,taxes,hou,0.0
2004,taxes,hou,0.0
2000,taxes,hou,0.0
1997,taxes,hou,0.0
2007,taxes,hou,0.0
2010,taxes,hou,0.0
2003,taxes,hou,0.0
2011,taxes,hou,0.0
2001,taxes,hou,0.0
2008,subsidies,hou,17.02
2009,subsidies,hou,16.754
2005,subsidies,hou,16.762
2006,subsidies,hou,15.256
2012,subsidies,hou,16.282
2014,subsidies,hou,16.014
2013,subsidies,hou,16.458000000000002
1999,subsidies,hou,10.273
2002,subsidies,hou,11.332
2017,subsidies,hou,18.748
2016,subsidies,hou,18.041
2015,subsidies,hou,16.413
1998,subsidies,hou,10.864
2004,subsidies,hou,13.933
2000,subsidies,hou,9.583
1997,subsidies,hou,10.957
2007,subsidies,hou,21.409
2010,subsidies,hou,16.235
2003,subsidies,hou,12.608
2011,subsidies,hou,16.485
2001,subsidies,hou,10.011000000000001
2008,taxes,fbt,16.65
2009,taxes,fbt,16.631
2005,taxes,fbt,14.158
2006,taxes,fbt,15.43
2012,taxes,fbt,18.419
2014,taxes,fbt,20.242
2013,taxes,fbt,19.265
1999,taxes,fbt,11.399000000000001
2002,taxes,fbt,11.005
2017,taxes,fbt,22.428
2016,taxes,fbt,21.666
2015,taxes,fbt,21.183
1998,taxes,fbt,11.462
2004,taxes,fbt,12.803
2000,taxes,fbt,11.374
1997,taxes,fbt,11.254
2007,taxes,fbt,16.167
2010,taxes,fbt,17.351
2003,taxes,fbt,11.939
2011,taxes,fbt,17.919
2001,taxes,fbt,12.241
2008,subsidies,fbt,-0.0
2009,subsidies,fbt,-0.0
2005,subsidies,fbt,-0.0
2006,subsidies,fbt,-0.0
2012,subsidies,fbt,-0.0
2014,subsidies,fbt,-0.0
2013,subsidies,fbt,-0.0
1999,subsidies,fbt,-0.0
2002,subsidies,fbt,-0.0
2017,subsidies,fbt,-0.0
2016,subsidies,fbt,-0.0
2015,subsidies,fbt,-0.0
1998,subsidies,fbt,-0.0
2004,subsidies,fbt,-0.0
2000,subsidies,fbt,-0.0
1997,subsidies,fbt,-0.0
2007,subsidies,fbt,-0.0
2010,subsidies,fbt,-0.0
2003,subsidies,fbt,-0.0
2011,subsidies,fbt,-0.0
2001,subsidies,fbt,-0.0
2008,taxes,ins,16.993000000000002
2009,taxes,ins,16.43
2005,taxes,ins,15.524000000000001
2006,taxes,ins,16.141000000000002
2012,taxes,ins,18.283
2014,taxes,ins,29.682000000000002
2013,taxes,ins,20.197
1999,taxes,ins,9.979000000000001
2002,taxes,ins,11.918000000000001
2017,taxes,ins,26.053
2016,taxes,ins,35.745
2015,taxes,ins,34.27
1998,taxes,ins,9.886000000000001
2004,taxes,ins,14.976
2000,taxes,ins,10.135
1997,taxes,ins,9.469
2007,taxes,ins,16.497
2010,taxes,ins,16.649
2003,taxes,ins,13.499
2011,taxes,ins,17.937
2001,taxes,ins,10.68
2008,subsidies,ins,-0.0
2009,subsidies,ins,-0.0
2005,subsidies,ins,-0.0
2006,subsidies,ins,-0.0
2012,subsidies,ins,-0.0
2014,subsidies,ins,-0.0
2013,subsidies,ins,-0.0
1999,subsidies,ins,-0.0
2002,subsidies,ins,-0.0
2017,subsidies,ins,-0.0
2016,subsidies,ins,-0.0
2015,subsidies,ins,-0.0
1998,subsidies,ins,-0.0
2004,subsidies,ins,-0.0
2000,subsidies,ins,-0.0
1997,subsidies,ins,-0.0
2007,subsidies,ins,-0.0
2010,subsidies,ins,-0.0
2003,subsidies,ins,-0.0
2011,subsidies,ins,-0.0
2001,subsidies,ins,-0.0
2008,taxes,tex,0.035
2009,taxes,tex,0.028
2005,taxes,tex,0.034
2006,taxes,tex,0.037
2012,taxes,tex,0.027
2014,taxes,tex,0.034
2013,taxes,tex,0.033
1999,taxes,tex,0.038
2002,taxes,tex,0.034
2017,taxes,tex,0.035
2016,taxes,tex,0.035
2015,taxes,tex,0.035
1998,taxes,tex,0.038
2004,taxes,tex,0.033
2000,taxes,tex,0.021
1997,taxes,tex,0.037
2007,taxes,tex,0.036000000000000004
2010,taxes,tex,0.029
2003,taxes,tex,0.031
2011,taxes,tex,0.028
2001,taxes,tex,0.035
2008,subsidies,tex,0.005
2009,subsidies,tex,0.006
2005,subsidies,tex,-0.0
2006,subsidies,tex,0.011
2012,subsidies,tex,0.005
2014,subsidies,tex,0.005
2013,subsidies,tex,0.005
1999,subsidies,tex,-0.0
2002,subsidies,tex,-0.0
2017,subsidies,tex,-0.0
2016,subsidies,tex,-0.0
2015,subsidies,tex,0.011
1998,subsidies,tex,-0.0
2004,subsidies,tex,-0.0
2000,subsidies,tex,-0.0
1997,subsidies,tex,-0.0
2007,subsidies,tex,0.005
2010,subsidies,tex,0.005
2003,subsidies,tex,-0.0
2011,subsidies,tex,0.005
2001,subsidies,tex,-0.0
2008,taxes,leg,14.862
2009,taxes,leg,7.107
2005,taxes,leg,24.903000000000002
2006,taxes,leg,23.329
2012,taxes,leg,9.792
2014,taxes,leg,13.192
2013,taxes,leg,12.145
1999,taxes,leg,4.385
2002,taxes,leg,7.269
2017,taxes,leg,16.415
2016,taxes,leg,15.774000000000001
2015,taxes,leg,14.796000000000001
1998,taxes,leg,4.037
2004,taxes,leg,18.108
2000,taxes,leg,4.396
1997,taxes,leg,2.991
2007,taxes,leg,20.346
2010,taxes,leg,7.511
2003,taxes,leg,13.547
2011,taxes,leg,8.435
2001,taxes,leg,5.031
2008,subsidies,leg,-0.0
2009,subsidies,leg,-0.0
2005,subsidies,leg,-0.0
2006,subsidies,leg,-0.0
2012,subsidies,leg,-0.0
2014,subsidies,leg,-0.0
2013,subsidies,leg,-0.0
1999,subsidies,leg,-0.0
2002,subsidies,leg,-0.0
2017,subsidies,leg,-0.0
2016,subsidies,leg,-0.0
2015,subsidies,leg,-0.0
1998,subsidies,leg,-0.0
2004,subsidies,leg,-0.0
2000,subsidies,leg,-0.0
1997,subsidies,leg,-0.0
2007,subsidies,leg,-0.0
2010,subsidies,leg,-0.0
2003,subsidies,leg,-0.0
2011,subsidies,leg,-0.0
2001,subsidies,leg,-0.0
2008,taxes,fen,0.0
2009,taxes,fen,0.0
2005,taxes,fen,0.0
2006,taxes,fen,0.0
2012,taxes,fen,0.0
2014,taxes,fen,0.0
2013,taxes,fen,0.0
1999,taxes,fen,0.0
2002,taxes,fen,0.0
2017,taxes,fen,0.0
2016,taxes,fen,0.0
2015,taxes,fen,0.0
1998,taxes,fen,0.0
2004,taxes,fen,0.0
2000,taxes,fen,0.0
1997,taxes,fen,0.0
2007,taxes,fen,0.0
2010,taxes,fen,0.0
2003,taxes,fen,0.0
2011,taxes,fen,0.0
2001,taxes,fen,0.0
2008,subsidies,fen,4.37
2009,subsidies,fen,4.847
2005,subsidies,fen,2.319
2006,subsidies,fen,2.4010000000000002
2012,subsidies,fen,5.124
2014,subsidies,fen,7.268
2013,subsidies,fen,7.152
1999,subsidies,fen,0.969
2002,subsidies,fen,1.803
2017,subsidies,fen,6.34
2016,subsidies,fen,6.0040000000000004
2015,subsidies,fen,6.001
1998,subsidies,fen,0.9400000000000001
2004,subsidies,fen,2.115
2000,subsidies,fen,1.209
1997,subsidies,fen,0.927
2007,subsidies,fen,3.044
2010,subsidies,fen,3.323
2003,subsidies,fen,1.9060000000000001
2011,subsidies,fen,4.578
2001,subsidies,fen,1.697
2008,taxes,uti,29.266000000000002
2009,taxes,uti,29.183
2005,taxes,uti,24.363
2006,taxes,uti,27.132
2012,taxes,uti,30.894000000000002
2014,taxes,uti,30.788
2013,taxes,uti,30.819
1999,taxes,uti,17.91
2002,taxes,uti,20.909
2017,taxes,uti,30.227
2016,taxes,uti,30.156000000000002
2015,taxes,uti,30.405
1998,taxes,uti,17.205000000000002
2004,taxes,uti,22.457
2000,taxes,uti,18.48
1997,taxes,uti,16.98
2007,taxes,uti,28.41
2010,taxes,uti,29.928
2003,taxes,uti,21.513
2011,taxes,uti,30.595
2001,taxes,uti,20.242
2008,subsidies,uti,-0.0
2009,subsidies,uti,-0.0
2005,subsidies,uti,-0.0
2006,subsidies,uti,-0.0
2012,subsidies,uti,-0.0
2014,subsidies,uti,-0.0
2013,subsidies,uti,-0.0
1999,subsidies,uti,-0.0
2002,subsidies,uti,0.385
2017,subsidies,uti,-0.0
2016,subsidies,uti,-0.0
2015,subsidies,uti,-0.0
1998,subsidies,uti,-0.0
2004,subsidies,uti,-0.0
2000,subsidies,uti,-0.0
1997,subsidies,uti,-0.0
2007,subsidies,uti,-0.0
2010,subsidies,uti,-0.0
2003,subsidies,uti,-0.319
2011,subsidies,uti,-0.0
2001,subsidies,uti,7.024
2008,taxes,nmp,0.105
2009,taxes,nmp,0.08700000000000001
2005,taxes,nmp,0.10400000000000001
2006,taxes,nmp,0.116
2012,taxes,nmp,0.099
2014,taxes,nmp,0.114
2013,taxes,nmp,0.105
1999,taxes,nmp,0.078
2002,taxes,nmp,0.082
2017,taxes,nmp,0.134
2016,taxes,nmp,0.127
2015,taxes,nmp,0.122
1998,taxes,nmp,0.073
2004,taxes,nmp,0.091
2000,taxes,nmp,0.082
1997,taxes,nmp,0.069
2007,taxes,nmp,0.112
2010,taxes,nmp,0.088
2003,taxes,nmp,0.08600000000000001
2011,taxes,nmp,0.093
2001,taxes,nmp,0.084
2008,subsidies,nmp,-0.0
2009,subsidies,nmp,-0.0
2005,subsidies,nmp,-0.0
2006,subsidies,nmp,-0.0
2012,subsidies,nmp,-0.0
2014,subsidies,nmp,-0.0
2013,subsidies,nmp,-0.0
1999,subsidies,nmp,-0.0
2002,subsidies,nmp,-0.0
2017,subsidies,nmp,-0.0
2016,subsidies,nmp,-0.0
2015,subsidies,nmp,-0.0
1998,subsidies,nmp,-0.0
2004,subsidies,nmp,-0.0
2000,subsidies,nmp,-0.0
1997,subsidies,nmp,-0.0
2007,subsidies,nmp,-0.0
2010,subsidies,nmp,-0.0
2003,subsidies,nmp,-0.0
2011,subsidies,nmp,-0.0
2001,subsidies,nmp,-0.0
2008,taxes,brd,29.148
2009,taxes,brd,28.243000000000002
2005,taxes,brd,33.076
2006,taxes,brd,33.08
2012,taxes,brd,29.536
2014,taxes,brd,30.345
2013,taxes,brd,29.834
1999,taxes,brd,25.366
2002,taxes,brd,29.837
2017,taxes,brd,30.740000000000002
2016,taxes,brd,29.657
2015,taxes,brd,30.039
1998,taxes,brd,22.664
2004,taxes,brd,31.509
2000,taxes,brd,27.414
1997,taxes,brd,21.259
2007,taxes,brd,31.93
2010,taxes,brd,28.364
2003,taxes,brd,30.337
2011,taxes,brd,29.3
2001,taxes,brd,29.676000000000002
2008,subsidies,brd,-0.0
2009,subsidies,brd,0.041
2005,subsidies,brd,-0.0
2006,subsidies,brd,-0.0
2012,subsidies,brd,0.746
2014,subsidies,brd,0.094
2013,subsidies,brd,0.395
1999,subsidies,brd,-0.0
2002,subsidies,brd,-0.0
2017,subsidies,brd,0.011
2016,subsidies,brd,-0.005
2015,subsidies,brd,0.094
1998,subsidies,brd,-0.0
2004,subsidies,brd,-0.0
2000,subsidies,brd,-0.0
1997,subsidies,brd,-0.0
2007,subsidies,brd,-0.0
2010,subsidies,brd,0.116
2003,subsidies,brd,-0.0
2011,subsidies,brd,0.51
2001,subsidies,brd,-0.0
2008,taxes,bnk,1.341
2009,taxes,bnk,1.283
2005,taxes,bnk,1.254
2006,taxes,bnk,1.348
2012,taxes,bnk,1.641
2014,taxes,bnk,1.75
2013,taxes,bnk,1.71
1999,taxes,bnk,0.925
2002,taxes,bnk,1.042
2017,taxes,bnk,2.0460000000000003
2016,taxes,bnk,1.951
2015,taxes,bnk,1.877
1998,taxes,bnk,0.929
2004,taxes,bnk,1.186
2000,taxes,bnk,0.937
1997,taxes,bnk,0.893
2007,taxes,bnk,1.387
2010,taxes,bnk,1.3860000000000001
2003,taxes,bnk,1.131
2011,taxes,bnk,1.5310000000000001
2001,taxes,bnk,0.995
2008,subsidies,bnk,0.084
2009,subsidies,bnk,0.221
2005,subsidies,bnk,0.058
2006,subsidies,bnk,0.037
2012,subsidies,bnk,0.877
2014,subsidies,bnk,0.8140000000000001
2013,subsidies,bnk,0.655
1999,subsidies,bnk,0.074
2002,subsidies,bnk,0.121
2017,subsidies,bnk,0.546
2016,subsidies,bnk,0.616
2015,subsidies,bnk,0.546
1998,subsidies,bnk,0.047
2004,subsidies,bnk,0.037
2000,subsidies,bnk,0.079
1997,subsidies,bnk,0.037
2007,subsidies,bnk,0.045
2010,subsidies,bnk,0.605
2003,subsidies,bnk,0.051000000000000004
2011,subsidies,bnk,0.652
2001,subsidies,bnk,0.1
2008,taxes,ore,0.882
2009,taxes,ore,0.838
2005,taxes,ore,0.7030000000000001
2006,taxes,ore,0.777
2012,taxes,ore,0.9400000000000001
2014,taxes,ore,1.082
2013,taxes,ore,1.0190000000000001
1999,taxes,ore,0.482
2002,taxes,ore,0.538
2017,taxes,ore,1.258
2016,taxes,ore,1.201
2015,taxes,ore,1.129
1998,taxes,ore,0.457
2004,taxes,ore,0.647
2000,taxes,ore,0.51
1997,taxes,ore,0.41200000000000003
2007,taxes,ore,0.86
2010,taxes,ore,0.882
2003,taxes,ore,0.594
2011,taxes,ore,0.901
2001,taxes,ore,0.523
2008,subsidies,ore,1.8960000000000001
2009,subsidies,ore,1.816
2005,subsidies,ore,3.482
2006,subsidies,ore,2.299
2012,subsidies,ore,1.8760000000000001
2014,subsidies,ore,2.3040000000000003
