yr,ir_supply,jc_supply,value
2011,eec,ppd,0.0
2001,eec,ppd,0.0
2008,use,ppd,0.363
2009,use,ppd,0.26
2005,use,ppd,0.331
2006,use,ppd,0.33
2012,use,ppd,0.336
2014,use,ppd,0.363
2013,use,ppd,0.384
1999,use,ppd,0.309
2002,use,ppd,0.224
2017,use,ppd,0.355
2016,use,ppd,0.34500000000000003
2015,use,ppd,0.354
1998,use,ppd,0.264
2004,use,ppd,0.311
2000,use,ppd,0.34900000000000003
1997,use,ppd,0.336
2007,use,ppd,0.34600000000000003
2010,use,ppd,0.328
2003,use,ppd,0.28500000000000003
2011,use,ppd,0.45
2001,use,ppd,0.28400000000000003
2008,fnd,ppd,0.0
2009,fnd,ppd,0.0
2005,fnd,ppd,0.0
2006,fnd,ppd,0.0
2012,fnd,ppd,0.0
2014,fnd,ppd,0.0
2013,fnd,ppd,0.0
1999,fnd,ppd,0.0
2002,fnd,ppd,0.0
2017,fnd,ppd,0.0
2016,fnd,ppd,0.0
2015,fnd,ppd,0.0
1998,fnd,ppd,0.0
2004,fnd,ppd,0.0
2000,fnd,ppd,0.0
1997,fnd,ppd,0.0
2007,fnd,ppd,0.0
2010,fnd,ppd,0.0
2003,fnd,ppd,0.0
2011,fnd,ppd,0.0
2001,fnd,ppd,0.0
2008,pub,ppd,0.0
2009,pub,ppd,0.0
2005,pub,ppd,0.0
2006,pub,ppd,0.0
2012,pub,ppd,0.0
2014,pub,ppd,0.0
2013,pub,ppd,0.0
1999,pub,ppd,0.0
2002,pub,ppd,0.0
2017,pub,ppd,0.0
2016,pub,ppd,0.0
2015,pub,ppd,0.0
1998,pub,ppd,0.0
2004,pub,ppd,0.0
2000,pub,ppd,0.0
1997,pub,ppd,0.0
2007,pub,ppd,0.0
2010,pub,ppd,0.0
2003,pub,ppd,0.0
2011,pub,ppd,0.0
2001,pub,ppd,0.0
2008,hou,ppd,0.0
2009,hou,ppd,0.0
2005,hou,ppd,0.0
2006,hou,ppd,0.0
2012,hou,ppd,0.0
2014,hou,ppd,0.0
2013,hou,ppd,0.0
1999,hou,ppd,0.0
2002,hou,ppd,0.0
2017,hou,ppd,0.0
2016,hou,ppd,0.0
2015,hou,ppd,0.0
1998,hou,ppd,0.0
2004,hou,ppd,0.0
2000,hou,ppd,0.0
1997,hou,ppd,0.0
2007,hou,ppd,0.0
2010,hou,ppd,0.0
2003,hou,ppd,0.0
2011,hou,ppd,0.0
2001,hou,ppd,0.0
2008,fbt,ppd,0.0
2009,fbt,ppd,0.0
2005,fbt,ppd,0.0
2006,fbt,ppd,0.0
2012,fbt,ppd,0.0
2014,fbt,ppd,0.0
2013,fbt,ppd,0.0
1999,fbt,ppd,0.0
2002,fbt,ppd,0.0
2017,fbt,ppd,0.0
2016,fbt,ppd,0.0
2015,fbt,ppd,0.0
1998,fbt,ppd,0.0
2004,fbt,ppd,0.0
2000,fbt,ppd,0.0
1997,fbt,ppd,0.0
2007,fbt,ppd,0.0
2010,fbt,ppd,0.0
2003,fbt,ppd,0.0
2011,fbt,ppd,0.0
2001,fbt,ppd,0.0
2008,ins,ppd,0.0
2009,ins,ppd,0.0
2005,ins,ppd,0.0
2006,ins,ppd,0.0
2012,ins,ppd,0.0
2014,ins,ppd,0.0
2013,ins,ppd,0.0
1999,ins,ppd,0.0
2002,ins,ppd,0.0
2017,ins,ppd,0.0
2016,ins,ppd,0.0
2015,ins,ppd,0.0
1998,ins,ppd,0.0
2004,ins,ppd,0.0
2000,ins,ppd,0.0
1997,ins,ppd,0.0
2007,ins,ppd,0.0
2010,ins,ppd,0.0
2003,ins,ppd,0.0
2011,ins,ppd,0.0
2001,ins,ppd,0.0
2008,tex,ppd,0.20800000000000002
2009,tex,ppd,0.169
2005,tex,ppd,0.322
2006,tex,ppd,0.299
2012,tex,ppd,0.158
2014,tex,ppd,0.125
2013,tex,ppd,0.129
1999,tex,ppd,0.723
2002,tex,ppd,0.327
2017,tex,ppd,0.153
2016,tex,ppd,0.152
2015,tex,ppd,0.11900000000000001
1998,tex,ppd,0.548
2004,tex,ppd,0.362
2000,tex,ppd,0.836
1997,tex,ppd,0.304
2007,tex,ppd,0.193
2010,tex,ppd,0.064
2003,tex,ppd,0.324
2011,tex,ppd,0.026000000000000002
2001,tex,ppd,0.9
2008,leg,ppd,0.0
2009,leg,ppd,0.0
2005,leg,ppd,0.0
2006,leg,ppd,0.0
2012,leg,ppd,0.0
2014,leg,ppd,0.0
2013,leg,ppd,0.0
1999,leg,ppd,0.0
2002,leg,ppd,0.0
2017,leg,ppd,0.0
2016,leg,ppd,0.0
2015,leg,ppd,0.0
1998,leg,ppd,0.0
2004,leg,ppd,0.0
2000,leg,ppd,0.0
1997,leg,ppd,0.0
2007,leg,ppd,0.0
2010,leg,ppd,0.0
2003,leg,ppd,0.0
2011,leg,ppd,0.0
2001,leg,ppd,0.0
2008,fen,ppd,0.0
2009,fen,ppd,0.0
2005,fen,ppd,0.0
2006,fen,ppd,0.0
2012,fen,ppd,0.0
2014,fen,ppd,0.0
2013,fen,ppd,0.0
1999,fen,ppd,0.0
2002,fen,ppd,0.0
2017,fen,ppd,0.0
2016,fen,ppd,0.0
2015,fen,ppd,0.0
1998,fen,ppd,0.0
2004,fen,ppd,0.0
2000,fen,ppd,0.0
1997,fen,ppd,0.0
2007,fen,ppd,0.0
2010,fen,ppd,0.0
2003,fen,ppd,0.0
2011,fen,ppd,0.0
2001,fen,ppd,0.0
2008,uti,ppd,0.0
2009,uti,ppd,0.0
2005,uti,ppd,0.0
2006,uti,ppd,0.0
2012,uti,ppd,0.0
2014,uti,ppd,0.0
2013,uti,ppd,0.0
1999,uti,ppd,0.0
2002,uti,ppd,0.0
2017,uti,ppd,0.0
2016,uti,ppd,0.0
2015,uti,ppd,0.0
1998,uti,ppd,0.0
2004,uti,ppd,0.0
2000,uti,ppd,0.0
1997,uti,ppd,0.0
2007,uti,ppd,0.0
2010,uti,ppd,0.0
2003,uti,ppd,0.0
2011,uti,ppd,0.0
2001,uti,ppd,0.0
2008,nmp,ppd,0.183
2009,nmp,ppd,0.08
2005,nmp,ppd,0.064
2006,nmp,ppd,0.112
2012,nmp,ppd,0.196
2014,nmp,ppd,0.125
2013,nmp,ppd,0.138
1999,nmp,ppd,0.005
2002,nmp,ppd,0.019
2017,nmp,ppd,0.14400000000000002
2016,nmp,ppd,0.14400000000000002
2015,nmp,ppd,0.124
1998,nmp,ppd,0.003
2004,nmp,ppd,0.07100000000000001
2000,nmp,ppd,0.011
1997,nmp,ppd,0.005
2007,nmp,ppd,0.188
2010,nmp,ppd,0.076
2003,nmp,ppd,0.065
2011,nmp,ppd,0.05
2001,nmp,ppd,0.018000000000000002
2008,brd,ppd,0.0
2009,brd,ppd,0.0
2005,brd,ppd,0.0
2006,brd,ppd,0.0
2012,brd,ppd,0.0
2014,brd,ppd,0.0
2013,brd,ppd,0.0
1999,brd,ppd,0.0
2002,brd,ppd,0.0
2017,brd,ppd,0.0
2016,brd,ppd,0.0
2015,brd,ppd,0.0
1998,brd,ppd,0.0
2004,brd,ppd,0.0
2000,brd,ppd,0.0
1997,brd,ppd,0.0
2007,brd,ppd,0.0
2010,brd,ppd,0.0
2003,brd,ppd,0.0
2011,brd,ppd,0.0
2001,brd,ppd,0.0
2008,bnk,ppd,0.0
2009,bnk,ppd,0.0
2005,bnk,ppd,0.0
2006,bnk,ppd,0.0
2012,bnk,ppd,0.0
2014,bnk,ppd,0.0
2013,bnk,ppd,0.0
1999,bnk,ppd,0.0
2002,bnk,ppd,0.0
2017,bnk,ppd,0.0
2016,bnk,ppd,0.0
2015,bnk,ppd,0.0
1998,bnk,ppd,0.0
2004,bnk,ppd,0.0
2000,bnk,ppd,0.0
1997,bnk,ppd,0.0
2007,bnk,ppd,0.0
2010,bnk,ppd,0.0
2003,bnk,ppd,0.0
2011,bnk,ppd,0.0
2001,bnk,ppd,0.0
2008,ore,ppd,0.0
2009,ore,ppd,0.0
2005,ore,ppd,0.0
2006,ore,ppd,0.0
2012,ore,ppd,0.0
2014,ore,ppd,0.0
2013,ore,ppd,0.0
1999,ore,ppd,0.0
2002,ore,ppd,0.0
2017,ore,ppd,0.0
2016,ore,ppd,0.0
2015,ore,ppd,0.0
1998,ore,ppd,0.0
2004,ore,ppd,0.0
2000,ore,ppd,0.0
1997,ore,ppd,0.0
2007,ore,ppd,0.0
2010,ore,ppd,0.0
2003,ore,ppd,0.0
2011,ore,ppd,0.0
2001,ore,ppd,0.0
2008,edu,ppd,0.0
2009,edu,ppd,0.0
2005,edu,ppd,0.0
2006,edu,ppd,0.0
2012,edu,ppd,0.0
2014,edu,ppd,0.0
2013,edu,ppd,0.0
1999,edu,ppd,0.0
2002,edu,ppd,0.0
2017,edu,ppd,0.0
2016,edu,ppd,0.0
2015,edu,ppd,0.0
1998,edu,ppd,0.0
2004,edu,ppd,0.0
2000,edu,ppd,0.0
1997,edu,ppd,0.0
2007,edu,ppd,0.0
2010,edu,ppd,0.0
2003,edu,ppd,0.0
2011,edu,ppd,0.0
2001,edu,ppd,0.0
2008,ote,ppd,0.0
2009,ote,ppd,0.0
2005,ote,ppd,0.0
2006,ote,ppd,0.0
2012,ote,ppd,0.0
2014,ote,ppd,0.0
2013,ote,ppd,0.0
1999,ote,ppd,0.0
2002,ote,ppd,0.0
2017,ote,ppd,0.0
2016,ote,ppd,0.0
2015,ote,ppd,0.0
1998,ote,ppd,0.0
2004,ote,ppd,0.0
2000,ote,ppd,0.0
1997,ote,ppd,0.0
2007,ote,ppd,0.0
2010,ote,ppd,0.0
2003,ote,ppd,0.0
2011,ote,ppd,0.0
2001,ote,ppd,0.0
2008,man,ppd,0.0
2009,man,ppd,0.0
2005,man,ppd,0.0
2006,man,ppd,0.0
2012,man,ppd,0.0
2014,man,ppd,0.0
2013,man,ppd,0.0
1999,man,ppd,0.0
2002,man,ppd,0.0
2017,man,ppd,0.0
2016,man,ppd,0.0
2015,man,ppd,0.0
1998,man,ppd,0.0
2004,man,ppd,0.0
2000,man,ppd,0.0
1997,man,ppd,0.0
2007,man,ppd,0.0
2010,man,ppd,0.0
2003,man,ppd,0.0
2011,man,ppd,0.0
2001,man,ppd,0.0
2008,mch,ppd,0.0
2009,mch,ppd,0.0
2005,mch,ppd,0.0
2006,mch,ppd,0.0
2012,mch,ppd,0.0
2014,mch,ppd,0.0
2013,mch,ppd,0.0
1999,mch,ppd,0.0
2002,mch,ppd,0.0
2017,mch,ppd,0.0
2016,mch,ppd,0.0
2015,mch,ppd,0.0
1998,mch,ppd,0.0
2004,mch,ppd,0.0
2000,mch,ppd,0.0
1997,mch,ppd,0.0
2007,mch,ppd,0.0
2010,mch,ppd,0.0
2003,mch,ppd,0.0
2011,mch,ppd,0.0
2001,mch,ppd,0.0
2008,dat,ppd,0.0
2009,dat,ppd,0.0
2005,dat,ppd,0.0
2006,dat,ppd,0.0
2012,dat,ppd,0.0
2014,dat,ppd,0.0
2013,dat,ppd,0.0
1999,dat,ppd,0.0
2002,dat,ppd,0.0
2017,dat,ppd,0.0
2016,dat,ppd,0.0
2015,dat,ppd,0.0
1998,dat,ppd,0.0
2004,dat,ppd,0.0
2000,dat,ppd,0.0
1997,dat,ppd,0.0
2007,dat,ppd,0.0
2010,dat,ppd,0.0
2003,dat,ppd,0.0
2011,dat,ppd,0.0
2001,dat,ppd,0.0
2008,amd,ppd,0.0
2009,amd,ppd,0.0
2005,amd,ppd,0.0
2006,amd,ppd,0.0
2012,amd,ppd,0.0
2014,amd,ppd,0.0
2013,amd,ppd,0.0
1999,amd,ppd,0.0
2002,amd,ppd,0.0
2017,amd,ppd,0.0
2016,amd,ppd,0.0
2015,amd,ppd,0.0
1998,amd,ppd,0.0
2004,amd,ppd,0.0
2000,amd,ppd,0.0
1997,amd,ppd,0.0
2007,amd,ppd,0.0
2010,amd,ppd,0.0
2003,amd,ppd,0.0
2011,amd,ppd,0.0
2001,amd,ppd,0.0
2008,oil,ppd,0.0
2009,oil,ppd,0.0
2005,oil,ppd,0.0
2006,oil,ppd,0.0
2012,oil,ppd,0.0
2014,oil,ppd,0.0
2013,oil,ppd,0.0
1999,oil,ppd,0.0
2002,oil,ppd,0.0
2017,oil,ppd,0.0
2016,oil,ppd,0.0
2015,oil,ppd,0.0
1998,oil,ppd,0.0
2004,oil,ppd,0.0
2000,oil,ppd,0.0
1997,oil,ppd,0.0
2007,oil,ppd,0.0
2010,oil,ppd,0.0
2003,oil,ppd,0.0
2011,oil,ppd,0.0
2001,oil,ppd,0.0
2008,hos,ppd,0.0
2009,hos,ppd,0.0
2005,hos,ppd,0.0
2006,hos,ppd,0.0
2012,hos,ppd,0.0
2014,hos,ppd,0.0
2013,hos,ppd,0.0
1999,hos,ppd,0.0
2002,hos,ppd,0.0
2017,hos,ppd,0.0
2016,hos,ppd,0.0
2015,hos,ppd,0.0
1998,hos,ppd,0.0
2004,hos,ppd,0.0
2000,hos,ppd,0.0
1997,hos,ppd,0.0
2007,hos,ppd,0.0
2010,hos,ppd,0.0
2003,hos,ppd,0.0
2011,hos,ppd,0.0
2001,hos,ppd,0.0
2008,rnt,ppd,0.0
2009,rnt,ppd,0.0
2005,rnt,ppd,0.0
2006,rnt,ppd,0.0
2012,rnt,ppd,0.0
2014,rnt,ppd,0.0
2013,rnt,ppd,0.0
1999,rnt,ppd,0.0
2002,rnt,ppd,0.0
2017,rnt,ppd,0.0
2016,rnt,ppd,0.0
2015,rnt,ppd,0.0
1998,rnt,ppd,0.0
2004,rnt,ppd,0.0
2000,rnt,ppd,0.0
1997,rnt,ppd,0.0
2007,rnt,ppd,0.0
2010,rnt,ppd,0.0
2003,rnt,ppd,0.0
2011,rnt,ppd,0.0
2001,rnt,ppd,0.0
2008,pla,ppd,1.326
2009,pla,ppd,0.896
2005,pla,ppd,1.294
2006,pla,ppd,1.241
2012,pla,ppd,0.923
2014,pla,ppd,0.6990000000000001
2013,pla,ppd,0.673
1999,pla,ppd,1.412
2002,pla,ppd,1.613
2017,pla,ppd,0.68
2016,pla,ppd,0.673
2015,pla,ppd,0.624
1998,pla,ppd,1.328
2004,pla,ppd,1.488
2000,pla,ppd,1.738
1997,pla,ppd,1.054
2007,pla,ppd,1.1480000000000001
2010,pla,ppd,0.647
2003,pla,ppd,1.603
2011,pla,ppd,0.47700000000000004
2001,pla,ppd,1.7710000000000001
2008,fof,ppd,0.0
2009,fof,ppd,0.0
2005,fof,ppd,0.0
2006,fof,ppd,0.0
2012,fof,ppd,0.0
2014,fof,ppd,0.0
2013,fof,ppd,0.0
1999,fof,ppd,0.0
2002,fof,ppd,0.0
2017,fof,ppd,0.0
2016,fof,ppd,0.0
2015,fof,ppd,0.0
1998,fof,ppd,0.0
2004,fof,ppd,0.0
2000,fof,ppd,0.0
1997,fof,ppd,0.0
2007,fof,ppd,0.0
2010,fof,ppd,0.0
2003,fof,ppd,0.0
2011,fof,ppd,0.0
2001,fof,ppd,0.0
2008,fin,ppd,0.0
2009,fin,ppd,0.0
2005,fin,ppd,0.0
2006,fin,ppd,0.0
2012,fin,ppd,0.0
2014,fin,ppd,0.0
2013,fin,ppd,0.0
1999,fin,ppd,0.0
2002,fin,ppd,0.0
2017,fin,ppd,0.0
2016,fin,ppd,0.0
2015,fin,ppd,0.0
1998,fin,ppd,0.0
2004,fin,ppd,0.0
2000,fin,ppd,0.0
1997,fin,ppd,0.0
2007,fin,ppd,0.0
2010,fin,ppd,0.0
2003,fin,ppd,0.0
2011,fin,ppd,0.0
2001,fin,ppd,0.0
2008,tsv,ppd,0.5680000000000001
2009,tsv,ppd,0.617
2005,tsv,ppd,0.632
2006,tsv,ppd,0.731
2012,tsv,ppd,0.991
2014,tsv,ppd,0.927
2013,tsv,ppd,0.983
1999,tsv,ppd,0.581
2002,tsv,ppd,0.532
2017,tsv,ppd,0.98
2016,tsv,ppd,0.895
2015,tsv,ppd,0.873
1998,tsv,ppd,0.5680000000000001
2004,tsv,ppd,0.585
2000,tsv,ppd,0.5720000000000001
1997,tsv,ppd,0.592
2007,tsv,ppd,0.713
2010,tsv,ppd,0.58
2003,tsv,ppd,0.5720000000000001
2011,tsv,ppd,0.606
2001,tsv,ppd,0.525
2008,nrs,ppd,0.0
2009,nrs,ppd,0.0
2005,nrs,ppd,0.0
2006,nrs,ppd,0.0
2012,nrs,ppd,0.0
2014,nrs,ppd,0.0
2013,nrs,ppd,0.0
1999,nrs,ppd,0.0
2002,nrs,ppd,0.0
2017,nrs,ppd,0.0
2016,nrs,ppd,0.0
2015,nrs,ppd,0.0
1998,nrs,ppd,0.0
2004,nrs,ppd,0.0
2000,nrs,ppd,0.0
1997,nrs,ppd,0.0
2007,nrs,ppd,0.0
2010,nrs,ppd,0.0
2003,nrs,ppd,0.0
2011,nrs,ppd,0.0
2001,nrs,ppd,0.0
2008,sec,ppd,0.0
2009,sec,ppd,0.0
2005,sec,ppd,0.0
2006,sec,ppd,0.0
2012,sec,ppd,0.0
2014,sec,ppd,0.0
2013,sec,ppd,0.0
1999,sec,ppd,0.0
2002,sec,ppd,0.0
2017,sec,ppd,0.0
2016,sec,ppd,0.0
2015,sec,ppd,0.0
1998,sec,ppd,0.0
2004,sec,ppd,0.0
2000,sec,ppd,0.0
1997,sec,ppd,0.0
2007,sec,ppd,0.0
2010,sec,ppd,0.0
2003,sec,ppd,0.0
2011,sec,ppd,0.0
2001,sec,ppd,0.0
2008,art,ppd,0.0
2009,art,ppd,0.0
2005,art,ppd,0.0
2006,art,ppd,0.0
2012,art,ppd,0.0
2014,art,ppd,0.0
2013,art,ppd,0.0
1999,art,ppd,0.0
2002,art,ppd,0.0
2017,art,ppd,0.0
2016,art,ppd,0.0
2015,art,ppd,0.0
1998,art,ppd,0.0
2004,art,ppd,0.0
2000,art,ppd,0.0
1997,art,ppd,0.0
2007,art,ppd,0.0
2010,art,ppd,0.0
2003,art,ppd,0.0
2011,art,ppd,0.0
2001,art,ppd,0.0
2008,mov,ppd,0.0
2009,mov,ppd,0.0
2005,mov,ppd,0.0
2006,mov,ppd,0.0
2012,mov,ppd,0.0
2014,mov,ppd,0.0
2013,mov,ppd,0.0
1999,mov,ppd,0.0
2002,mov,ppd,0.0
2017,mov,ppd,0.0
2016,mov,ppd,0.0
2015,mov,ppd,0.0
1998,mov,ppd,0.0
2004,mov,ppd,0.0
2000,mov,ppd,0.0
1997,mov,ppd,0.0
2007,mov,ppd,0.0
2010,mov,ppd,0.0
2003,mov,ppd,0.0
2011,mov,ppd,0.0
2001,mov,ppd,0.0
2008,fpd,ppd,0.003
2009,fpd,ppd,0.002
2005,fpd,ppd,0.045
2006,fpd,ppd,0.026000000000000002
2012,fpd,ppd,0.0
2014,fpd,ppd,0.0
2013,fpd,ppd,0.0
1999,fpd,ppd,0.136
2002,fpd,ppd,0.064
2017,fpd,ppd,0.0
2016,fpd,ppd,0.0
2015,fpd,ppd,0.0
1998,fpd,ppd,0.069
2004,fpd,ppd,0.052000000000000005
2000,fpd,ppd,0.065
1997,fpd,ppd,0.047
2007,fpd,ppd,0.002
2010,fpd,ppd,0.001
2003,fpd,ppd,0.093
2011,fpd,ppd,0.0
2001,fpd,ppd,0.094
2008,slg,ppd,0.0
2009,slg,ppd,0.0
2005,slg,ppd,0.0
2006,slg,ppd,0.0
2012,slg,ppd,0.0
2014,slg,ppd,0.0
2013,slg,ppd,0.0
1999,slg,ppd,0.0
2002,slg,ppd,0.0
2017,slg,ppd,0.0
2016,slg,ppd,0.0
2015,slg,ppd,0.0
1998,slg,ppd,0.0
2004,slg,ppd,0.0
2000,slg,ppd,0.0
1997,slg,ppd,0.0
2007,slg,ppd,0.0
2010,slg,ppd,0.0
2003,slg,ppd,0.0
2011,slg,ppd,0.0
2001,slg,ppd,0.0
2008,pri,ppd,0.51
2009,pri,ppd,0.323
2005,pri,ppd,0.363
2006,pri,ppd,0.382
2012,pri,ppd,0.459
2014,pri,ppd,0.302
2013,pri,ppd,0.336
1999,pri,ppd,0.468
2002,pri,ppd,0.34500000000000003
2017,pri,ppd,0.291
2016,pri,ppd,0.29
2015,pri,ppd,0.275
1998,pri,ppd,0.516
2004,pri,ppd,0.362
2000,pri,ppd,0.363
1997,pri,ppd,0.604
2007,pri,ppd,0.463
2010,pri,ppd,0.259
2003,pri,ppd,0.387
2011,pri,ppd,0.21
2001,pri,ppd,0.40900000000000003
2008,grd,ppd,0.0
2009,grd,ppd,0.0
2005,grd,ppd,0.0
2006,grd,ppd,0.0
2012,grd,ppd,0.0
2014,grd,ppd,0.0
2013,grd,ppd,0.0
1999,grd,ppd,0.0
2002,grd,ppd,0.0
2017,grd,ppd,0.0
2016,grd,ppd,0.0
2015,grd,ppd,0.0
1998,grd,ppd,0.0
2004,grd,ppd,0.0
2000,grd,ppd,0.0
1997,grd,ppd,0.0
2007,grd,ppd,0.0
2010,grd,ppd,0.0
2003,grd,ppd,0.0
2011,grd,ppd,0.0
2001,grd,ppd,0.0
2008,pip,ppd,0.0
2009,pip,ppd,0.0
2005,pip,ppd,0.0
2006,pip,ppd,0.0
2012,pip,ppd,0.0
2014,pip,ppd,0.0
2013,pip,ppd,0.0
1999,pip,ppd,0.0
2002,pip,ppd,0.0
2017,pip,ppd,0.0
2016,pip,ppd,0.0
2015,pip,ppd,0.0
1998,pip,ppd,0.0
2004,pip,ppd,0.0
2000,pip,ppd,0.0
1997,pip,ppd,0.0
2007,pip,ppd,0.0
2010,pip,ppd,0.0
2003,pip,ppd,0.0
2011,pip,ppd,0.0
2001,pip,ppd,0.0
2008,sle,ppd,0.0
2009,sle,ppd,0.0
2005,sle,ppd,0.0
2006,sle,ppd,0.0
2012,sle,ppd,0.0
2014,sle,ppd,0.0
2013,sle,ppd,0.0
1999,sle,ppd,0.0
2002,sle,ppd,0.0
2017,sle,ppd,0.0
2016,sle,ppd,0.0
2015,sle,ppd,0.0
1998,sle,ppd,0.0
2004,sle,ppd,0.0
2000,sle,ppd,0.0
1997,sle,ppd,0.0
2007,sle,ppd,0.0
2010,sle,ppd,0.0
2003,sle,ppd,0.0
2011,sle,ppd,0.0
2001,sle,ppd,0.0
2008,osv,ppd,0.0
2009,osv,ppd,0.0
2005,osv,ppd,0.0
2006,osv,ppd,0.0
2012,osv,ppd,0.0
2014,osv,ppd,0.0
2013,osv,ppd,0.0
1999,osv,ppd,0.0
2002,osv,ppd,0.0
2017,osv,ppd,0.0
2016,osv,ppd,0.0
2015,osv,ppd,0.0
1998,osv,ppd,0.0
2004,osv,ppd,0.0
2000,osv,ppd,0.0
